depth,network,site_id,n_ml,n_sport,longitude,latitude,robust,KGE_KGML,KGE_SPoRT,KGE_diff,r_KGML,r_SPoRT,r_diff,pbias_KGML,pbias_SPoRT,pbias_diff,abs_pbias_adv
Shallow,SCAN,SCAN:2043,0,NA,-72.02593,43.7756,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shallow,SNTL,SNTL:1000,442,442,-122.16518,42.870070000000005,TRUE,-4.602078967772787,-8.433648684663112,3.831569716890325,0.7677495810769747,0.6147794021964055,0.15297017888056919,517.1,885.5,-368.4,368.4
Shallow,SNTL,SNTL:1085,139,139,-121.5343,46.86954,FALSE,0.26253001348169347,-0.2632990290206403,0.5258290425023338,0.32856429084234057,0.07655764241995515,0.2520066484223854,22.9,86.1,-63.199999999999996,63.199999999999996
Shallow,SNTL,SNTL:1107,318,318,-123.45747,47.7086,FALSE,0.502414416990244,0.23900062901930308,0.26341378797094095,0.64587816448111,0.6135485079197824,0.03232965656132758,25.3,65.3,-40,40
Shallow,SNTL,SNTL:1113,3253,3227,-111.56918,41.88573,TRUE,0.6132957382968676,0.17540425555629469,0.4378914827405729,0.8055773263649201,0.7796668991570278,0.025910427207892273,33.3,78.4,-45.10000000000001,45.10000000000001
Shallow,SNTL,SNTL:1132,95,95,-107.0136,44.34847,FALSE,-3.350301815087078,-5.516749324085656,2.166447508998578,-0.46347912357108934,-0.3672395915020275,-0.09623953206906183,405.9,636,-230.10000000000002,230.10000000000002
Shallow,SNTL,SNTL:1152,1517,1491,-114.6133,39.16337,TRUE,0.38645091356995864,0.26439205959494316,0.12205885397501548,0.8678373732935439,0.6858508462592955,0.18198652703424845,-29.2,16.4,-45.599999999999994,-12.8
Shallow,SNTL,SNTL:1159,512,512,-118.98640000000002,48.9516,TRUE,0.4269675065125679,0.24758713345141614,0.17938037306115173,0.8582287378177731,0.778375456036015,0.0798532817817581,-39.9,22.1,-62,-17.799999999999997
Shallow,SNTL,SNTL:1248,1944,1917,-112.92949,37.59711,TRUE,0.5610162633320804,0.4476637393793066,0.11335252395277384,0.8510205746675857,0.7544640362812458,0.09655653838633993,41,32.7,8.299999999999997,-8.299999999999997
Shallow,SNTL,SNTL:1280,1202,1202,-111.71802,39.92076,TRUE,0.7916632490677613,0.42178429813507934,0.36987895093268197,0.8843585344171199,0.7980709191968266,0.08628761522029327,8.4,27.2,-18.799999999999997,18.799999999999997
Shallow,SNTL,SNTL:320,627,627,-113.93797000000001,43.74367,TRUE,0.11768937033711924,-0.5921573764446741,0.7098467467817934,0.9385603853804583,0.7543973767649035,0.1841630086155548,64.2,157.3,-93.10000000000001,93.10000000000001
Shallow,SNTL,SNTL:344,117,117,-122.26617,42.40717,FALSE,0.7126259333423779,-0.2982385851249403,1.0108645184673182,0.9067410480048295,0.8277780771033724,0.0789629709014571,27,128.1,-101.1,101.1
Shallow,SNTL,SNTL:351,100,100,-121.85605,45.428700000000006,FALSE,0.07023817557836609,-1.380977381657717,1.4512155572360832,0.7826112589003568,0.7979634846709974,-0.01535222577064066,86.1,237.2,-151.1,151.1
Shallow,SNTL,SNTL:361,545,545,-118.18787,44.83052,TRUE,0.6449800691510053,0.30673087379745934,0.3382491953535459,0.9547205373825741,0.7086003550644353,0.2461201823181388,28.6,62.9,-34.3,34.3
Shallow,SNTL,SNTL:398,672,672,-121.75443,45.09658,TRUE,0.6490590474374429,0.36516304164800417,0.28389600578943874,0.9113065800342008,0.8949231529083498,0.016383427125851058,33.9,58.5,-24.6,24.6
Shallow,SNTL,SNTL:401,0,NA,-121.6916,45.18832,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shallow,SNTL,SNTL:466,335,335,-116.12233,46.83998,FALSE,-88.35970409915166,-120.83020398150094,32.47049988234929,0.01762495651332104,-0.07221287000157106,0.0898378265148921,8925.5,12176.2,-3250.7000000000007,3250.7000000000007
Shallow,SNTL,SNTL:513,982,982,-110.62121,40.73785,TRUE,0.29729244762714846,0.08242405021796384,0.21486839740918462,0.6051139402286535,0.36917475358157015,0.23593918664708335,-46.2,-47.9,1.6999999999999957,1.6999999999999957
Shallow,SNTL,SNTL:515,265,85,-120.6586,48.72047,FALSE,0.29517332668665663,-7.430377331209819,7.725550657896475,0.45323912305102243,0.5041086917674531,-0.05086956871643067,-27.6,795.4,-823,767.8
